DateServed,852-2004,1099-2009,853-2004,2996-2013,1069-2009,999-2001,2952-2013,142-2011,178-2002,1724-2003,2073-2005,854-2004,931-2011,1774-2002,882-2004,2075-2005
2015-01,129,4,25,2,3,1,0,1,0,0,1,0,0,0,0,0
2015-02,176,25,30,3,9,2,1,2,2,0,3,0,0,0,0,0
2015-03,132,316,40,8,1,1,1,3,2,1,0,0,0,0,0,0
2015-04,114,83,28,3,3,1,0,1,2,4,0,0,0,0,0,0
2015-05,104,9,34,14,7,1,1,2,2,0,4,0,1,0,0,0
2015-06,149,7,29,6,2,0,0,3,1,0,2,0,1,0,0,0
2015-07,106,6,25,9,6,2,2,2,3,1,2,2,0,0,0,0
2015-08,87,13,24,0,6,0,1,2,1,0,0,0,0,0,0,0
2015-09,141,10,26,10,7,2,3,2,1,0,3,0,0,0,0,0
2015-10,139,11,34,6,4,1,0,0,2,1,0,0,0,0,0,0
2015-11,157,13,25,15,8,4,2,2,1,0,0,1,0,0,0,0
2015-12,117,31,23,17,9,2,0,1,1,0,0,0,0,0,0,0
