DateServed,852-2004,1099-2009,853-2004,2996-2013,1069-2009,999-2001,2952-2013,142-2011,178-2002,1724-2003,2073-2005,854-2004,931-2011,1774-2002,882-2004,2075-2005
2017-01,143,13,25,51,8,2,1,8,2,0,1,0,0,0,0,0
2017-02,146,16,37,53,7,3,3,7,3,1,2,0,1,0,0,0
2017-03,133,28,32,0,5,7,0,1,0,0,0,0,0,0,1,0
2017-04,176,26,35,0,1,5,0,4,0,0,4,0,0,0,0,0
2017-05,149,39,29,0,5,2,0,4,1,0,1,2,0,0,1,0
2017-06,208,38,45,0,7,1,0,10,1,0,1,1,0,0,4,0
2017-07,145,27,30,0,6,5,0,6,1,0,2,0,0,0,1,0
2017-08,144,26,35,0,13,6,0,3,3,0,1,1,1,0,1,0
2017-09,192,37,59,0,11,9,0,7,2,0,1,2,0,0,0,0
2017-10,200,32,69,0,11,3,0,5,1,0,2,0,0,0,2,0
2017-11,243,41,77,0,8,1,0,7,7,0,7,0,0,0,0,0
2017-12,198,24,57,0,4,2,0,7,3,0,4,0,0,0,0,0
